,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4: Distribution Wires Down 2015-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL WIRE-DOWN SUSTAINED OUTAGE DETAILS (2015-2019),,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRIBUTION CIRCUIT OUTAGES ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Including 2.5b ME Days, Transformer-Only, and Secondary & Service Conductor Wire-Down Outages; Excluding Fire Mitigation Outages))",,,,,,,,,,,,,,,,,,,,,,,,,,
Division,District Name,Feeder Name,Feeder #,Device,Oper #,Out Date,FNL,In Date,"In
Time",OIS #,Duration,Outage Level,Basic Cause,Supplemental Cause,CESO,C Min,"Open Point
Latitude","Open Point
Longitude",Fault Location,Weather,Failed Equipment,"Failed Equipment
Condition",Event #,"Const
Type",Sus/Mom,Tier
SAN JOSE     ,SAN JOSE        ,MORGAN HILL-2106            ,083242106,FUSE         ,12529,20171024,0714,20171025,1034,1908404,"1,640",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,"1,275","181,313",37.09269,-121.59263,C/O SAN MARTIN AND SYCAMORE AVE                                                                     ,"Clear,Rain;32-90 F                                              ",Pole-Wood                   ,"Broken, wire on ground      ",17-0089946,OH,Sus,Non 2/3  
CENTRAL COAST,MONTEREY        ,LAURELES-1111               ,182371111,FUSE         ,6091,20180701,2011,20180702,2322,122613,"1,631",Distribution Circuit      ,3rd Party                   ,Aircraft                             ,237,"34,103",36.39146,-121.61933,10 SP LS MTR#1010273507                                                                             ,Clear;32-90F                                                    ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0056126,OH,Sus,Tier 2   
HUMBOLDT     ,UKIAH           ,KONOCTI-1108                ,043311108,RECLOSER     ,1278,20190616,0511,20190617,0815,415696,"1,624",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,444,"63,568",38.95586,-122.72744,2P E/OF 426288                                                                                      ,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",19-0068204,OH,Sus,Tier 2   
SACRAMENTO   ,YOLO            ,MADISON-1103                ,063171103,FUSE         ,2331,20180616,1937,20180617,2210,111067,"1,593",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,86,"8,016",38.69901,-122.02089,9 POLES W/O 2331                                                                                    ,Clear;32-90F                                                    ,"Conductor, Overhead         ",On Ground                   ,18-0051673,OH,Sus,Non 2/3  
SACRAMENTO   ,YOLO            ,WOODLAND-1106               ,062031106,SWITCH       ,5343,20190817,1621,20190818,1850,521343,"1,589",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,12,"3,888",38.73390,-121.63331,POLE AT CGC # 221068539925                                                                          ,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",19-0089106,OH,Sus,Non 2/3  
KERN         ,KERN            ,LAMONT-1102                 ,253911102,OCB          ,1102/2                                            ,20191102,1112,20191103,1304,698223,"1,552",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,503,"109,059",35.29709,-118.86191,6 P W/OF MTR# 1010613681                                                                            ,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",19-0120389,OH,Sus,Non 2/3  
KERN         ,KERN            ,TEJON-1102                  ,252931102,FUSE         ,88811,20170603,1715,20170604,1855,1796454,"1,540",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,23,"8,972",34.83751,-118.86608,"TALLMAN,SEAN_2031_661-619-8501: at 1586 lebec rd                                                    ",Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on object      ",17-0052555,OH,Sus,Tier 2   
LOS PADRES   ,SANTA MARIA     ,SANTA MARIA-1108            ,182671108,RECLOSER     ,M18                                               ,20170805,1518,20170806,1645,1847002,"1,527",Distribution Circuit      ,3rd Party                   ,Aircraft                             ,441,"80,335",34.97209,-120.40186,WIRE DOWN BET 6709 & 46099.                                                                         ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0068188,OH,Sus,Non 2/3  
STOCKTON     ,MOTHER LODE     ,SALT SPRINGS-2102           ,163692102,TRIP-SAVER   ,L491                                              ,20190117,0015,20190118,0133,272322,"1,518",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,111,"168,498",38.30764,-120.26644,MTR 1004236132                                                                                      ,"Overcast,Fog,Heavy Rain,Strong Winds;32-90 F                    ",Pole-Wood                   ,"Broken, wire on ground      ",19-0010514,OH,Sus,Tier 3   
STOCKTON     ,DELTA           ,BANTA-1101                  ,162471101,FUSE         ,18715,20190521,0918,20190522,1035,386766,"1,517",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,34,"14,298",37.78376,-121.30995,2 E/OF 12771                                                                                        ,Overcast;32-90 F                                                ,"Conductor, Overhead         ","Broken, wire on ground      ",19-0054778,OH,Sus,Non 2/3  
KERN         ,KERN            ,STOCKDALE-1108              ,254071108,OCB          ,2110/2                                            ,20181231,2200,20190101,2301,251137,"1,501",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,"1,459","235,351",35.31640,-119.06810,"TALLMAN,S_2031_661-619-8501: new stine and wilson rd                                                ",Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",18-0111313,OH,Sus,Non 2/3  
DE ANZA      ,DE ANZA         ,AMES-1102                   ,083901102,RECLOSER     ,LM04                                              ,20190223,0135,20190224,0234,321721,"1,499",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,51,"22,603",37.42899,-122.09484,491,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",19-0027428,OH,Sus,Non 2/3  
KERN         ,KERN            ,TEJON-1102                  ,252931102,OCB          ,1102/2                                            ,20190823,2122,20190824,2216,535021,"1,494",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,848,"277,164",35.01980,-118.95482,"Forbes,J_661-529-0223: At A108                                                                      ",Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",19-0091690,OH,Sus,Non 2/3  
MISSION      ,MISSION         ,JARVIS-1110                 ,013501110,FUSE         ,11804,20151101,0222,20151102,0543,1332184,"1,493",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,243,"42,081",37.58038,-121.99038,11804,Partly Cloudy;32-90 F                                           ,Pole-Wood                   ,"Broken, wire on ground      ",15-0074506,OH,Sus,Non 2/3  
HUMBOLDT     ,WILLOW CREEK    ,HOOPA-1101                  ,192401101,FUSE         ,3269,20180929,1616,20180930,1702,184114,"1,486",Distribution Circuit      ,3rd Party                   ,"Tree - cutting, 3rd party            ",69,"16,028",41.02517,-123.65409,MTR# 1008026402                                                                                     ,Overcast;32-90 F                                                ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0084877,OH,Sus,Non 2/3  
EAST BAY     ,CENTRAL         ,OAKLAND J-1108              ,012091108,OCB          ,1108/12                                           ,20180312,0327,20180313,0408,42102,"1,481",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,"1,434","214,920",37.76225,-122.21342,"LABO, MICHAEL: HWY 880 & 23RD AVE                                                                   ",Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0021725,OH,Sus,Non 2/3  
SACRAMENTO   ,SOLANO          ,GRAND ISLAND-2223           ,062462223,OTHER        ,WIRE DOWN @ 4227                                  ,20190920,1904,20190921,1932,599924,"1,468",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,"1,407","273,092",38.23706,-121.55839,4227,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",19-0102042,OH,Sus,Non 2/3  
EAST BAY     ,BAY             ,RICHMOND R-1126             ,013471126,OCB          ,OCB                                               ,20160424,0233,20160425,0259,1456921,"1,466",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,"5,805","461,452",37.92602,-122.37033,BR 248 & 2 POLES FROM 80129 TWD R6013                                                               ,Partly Cloudy;32-90 F                                           ,Pole-Wood                   ,"Broken, wire on ground      ",16-0030990,OH,Sus,Non 2/3  
HUMBOLDT     ,WILLOW CREEK    ,WILLOW CREEK-1101           ,192171101,JUMPER       ,WIRE DOWN LD SIDE LR 3050                         ,20170722,1225,20170723,1247,1837671,"1,462",Distribution Circuit      ,3rd Party                   ,"Tree - cutting, 3rd party            ",16,"23,227",40.88354,-123.76950,2 SPANS LD SIDE OF MTR 5000096012                                                                   ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0064721,OH,Sus,Tier 3   
SACRAMENTO   ,SOLANO          ,GRAND ISLAND-2225           ,062462225,FUSE         ,4599,20190508,1211,20190509,1233,376384,"1,462",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,58,"46,828",38.08057,-121.73318,CGC 220760615153                                                                                    ,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",19-0050060,OH,Sus,Non 2/3  
DE ANZA      ,DE ANZA         ,WOLFE-1113                  ,083671113,OTHER        ,WIRE DOWN 171 CARLOW CT & CARLISLE WAY            ,20190629,1248,20190630,1308,436192,"1,460",Distribution Circuit      ,3rd Party                   ,"Tree - cutting, 3rd party            ","4,540","190,184",37.34898,-122.02997,WIREDOWN AT 171 CARLOW COURT & CARLISLE WAY                                                         ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",19-0073353,OH,Sus,Non 2/3  
HUMBOLDT     ,UKIAH           ,FORT BRAGG A-1102           ,042761102,FUSE         ,3321,20190912,1404,20190913,1414,575813,"1,450",Distribution Circuit      ,3rd Party                   ,"Fire, house or bldg.                 ",5,"1,994",39.40485,-123.74148,29619 HWY 20                                                                                        ,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",19-0098420,OH,Sus,Tier 2   
KERN         ,KERN            ,LAMONT-1102                 ,253911102,FUSE         ,18568,20190503,1510,20190504,1516,373354,"1,446",Distribution Circuit      ,3rd Party                   ,"Tree - cutting, 3rd party            ",5,"7,230",35.33378,-118.75762,MTR# 1006926443                                                                                     ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",19-0048768,OH,Sus,Non 2/3  
SIERRA       ,EL DORADO       ,CLARKSVILLE-2104            ,153612104,OCB          ,2104/2                                            ,20170721,2009,20170722,2010,1837352,"1,441",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,"4,220","766,792",38.65549,-121.06038,RCO 21431/21433/21435                                                                               ,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",17-0064665,OH,Sus,Non 2/3  
EAST BAY     ,BAY             ,SAN PABLO-1105              ,014371105,FUSE         ,R8974                                             ,20180723,1757,20180724,1958,138545,"1,441",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,"1,209","243,314",37.97697,-122.33137,R8976                                                                                               ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0062883,OH,Sus,Non 2/3  
CENTRAL COAST,COAST           ,GREEN VALLEY-2101           ,083192101,FUSE         ,6581,20150213,1648,20150214,1646,1189929,"1,438",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,35,"17,870",36.95659,-121.72684,2 SPANS SS METER 1008672631 IN MAIN LINE                                                            ,Clear;32 - 90 F                                                 ,Pole-Wood                   ,"Broken, wire on ground      ",15-0013293,OH,Sus,Non 2/3  
